student_name,teacher_name,grade,time_in,time_out,what_happened,does_students_behavior_pose_a_safety_risk_to_them_or_others,student_sent_to_administrator,isla_debrief_completed,coached_student_on_appropriate_behavior_skill,practiced_re_connection_conversation_with_you,did_the_student_complete_a_re_connection_card,did_the_student_do_the_re_connection_conversation_with_their_teacher,did_the_student_reenter_the_classroom,if_not_why,minutes_in_office,notes,time_lost,date
Hannah Abbott,Batwoman,7,2019-09-05T10:44:48Z,,[teacher report of what happened],No,No,,,,,No,No,,,,,2019-09-05
Hannah Abbott,Batwoman,7,2020-01-09T10:10:39Z,,,,,,,,,,,,,,,2020-01-09
Hannah Abbott,She-Hulk,7,2019-09-06T10:29:52Z,,,,,,,,,,,,,,,2019-09-06
Hannah Abbott,She-Hulk,7,2019-12-19T13:30:49Z,2019-12-19T14:55:00Z,[teacher report of what happened],Yes,,,,,,,,,1899-12-30T01:24:11Z,,84.1833333412806,2019-12-19
Hannah Abbott,Black Lightning,7,2019-11-06T11:02:41Z,2019-11-06T13:24:38Z,,,,,,,,,,,1899-12-30T02:21:57Z,,141.95,2019-11-06
Hannah Abbott,Black Lightning,7,2019-11-21T10:49:06Z,2019-11-21T10:53:45Z,,,,,,,,,,,1899-12-30T00:04:39Z,,4.65,2019-11-21
Hannah Abbott,Black Lightning,7,2020-02-20T14:29:40.:00Z,,,,,,,,,,,,,,,2020-02-20
Hannah Abbott,Wolverine,7,2019-11-13T11:36:20Z,2019-11-13T12:36:29Z,,,,,,,,,,,1899-12-30T01:00:09Z,,60.15,2019-11-13
Hannah Abbott,Spider-Man,7,2019-12-03T13:33:45Z,2019-12-03T14:04:33Z,[teacher report of what happened],Yes,No,No,Yes,No,No,No,No,Student not ready,1899-12-30T00:30:48Z,[ISLA facilitator notes],30.8,2019-12-03
Hannah Abbott,Black Canary,7,2019-12-04T09:10:46Z,2019-12-04T09:25:28Z,[teacher report of what happened],No,No,No,Yes,No,No,Yes,No,,1899-12-30T00:14:42Z,[ISLA facilitator notes],14.7,2019-12-04
Hannah Abbott,Black Canary,7,2020-01-09T08:24:57Z,2020-01-09T09:13:37Z,[teacher report of what happened],no,No,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:48:40Z,,48.6666666666667,2020-01-09
